Date,price,short_mavg,long_mavg,signal,positions
2023-09-26,171.960007,179.81625060000002,184.48175689189188,0.0,0.0
2023-09-27,170.429993,179.1867504,184.29440004,0.0,0.0
2023-09-28,170.690002,178.6395004,184.11539480263158,0.0,0.0
2023-09-29,171.210007,178.14050062500002,183.94779236363635,0.0,0.0
2023-10-02,173.75,177.93450049999998,183.81705143589744,0.0,0.0
2023-10-03,172.399994,177.7732502,183.672531721519,0.0,0.0
2023-10-04,173.660004,177.619750225,183.547375125,0.0,0.0
2023-10-05,174.910004,177.537750275,183.44074091358024,0.0,0.0
2023-10-06,177.490005,177.52575037499997,183.36817096341463,0.0,0.0
2023-10-09,178.990005,177.555750675,183.3154219759036,0.0,0.0
2023-10-10,178.389999,177.529000475,183.25678598809523,0.0,0.0
2023-10-11,179.800003,177.58775062499998,183.21611795294118,0.0,0.0
2023-10-12,180.710007,177.691250625,183.18697712790697,0.0,0.0
2023-10-13,178.850006,177.812500775,183.13712688505748,0.0,0.0
2023-10-16,178.720001,177.918250675,183.08693227272727,0.0,0.0
2023-10-17,177.149994,177.951000625,183.0202251011236,0.0,0.0
2023-10-18,175.839996,177.916250625,182.94044477777777,0.0,0.0
2023-10-19,175.460007,177.774750925,182.85824216483516,0.0,0.0
2023-10-20,172.880005,177.687250925,182.74978306521737,0.0,0.0
2023-10-23,173.0,177.5470009,182.64494668817204,0.0,0.0
2023-10-24,173.440002,177.37825089999998,182.54702174468085,0.0,0.0
2023-10-25,171.100006,177.052751175,182.42652684210526,0.0,0.0
2023-10-26,166.889999,176.5337513,182.26468801041665,0.0,0.0
2023-10-27,168.220001,176.04250144999997,182.11989742268042,0.0,0.0
2023-10-30,170.289993,175.5632511,181.99918411224488,0.0,0.0
2023-10-31,170.770004,175.09000127500002,181.88575805050505,0.0,0.0
2023-11-01,173.970001,174.8665012,181.80660048000001,0.0,0.0
2023-11-02,177.570007,174.86675142500002,181.74440062000002,0.0,0.0
2023-11-03,176.649994,174.82850145,181.67780058,0.0,0.0
2023-11-06,179.229996,174.825251325,181.63060057,0.0,0.0
2023-11-07,181.820007,174.963251425,181.58870069,0.0,0.0
2023-11-08,182.889999,175.18025122499998,181.56840069999998,0.0,0.0
2023-11-09,182.410004,175.3470012,181.54240079,0.0,0.0
2023-11-10,186.399994,175.631751175,181.56680066,0.0,0.0
2023-11-13,184.800003,175.802501225,181.54480069000002,0.0,0.0
2023-11-14,187.440002,176.0117511,181.55240078,0.0,0.0
2023-11-15,188.009995,176.32475085000002,181.57980069,0.0,0.0
2023-11-16,189.710007,176.7192512,181.59630078,0.0,0.0
2023-11-17,189.690002,177.091751425,181.60070080000003,0.0,0.0
2023-11-20,191.449997,177.4760013,181.61930081,0.0,0.0
2023-11-21,190.639999,177.9430011,181.58600078999999,0.0,0.0
2023-11-22,191.309998,178.46500122499998,181.5745007,0.0,0.0
2023-11-24,189.970001,178.9470012,181.56090069,0.0,0.0
2023-11-27,189.789993,179.41150084999998,181.54070063999998,0.0,0.0
2023-11-28,190.399994,179.8277507,181.53790064999998,0.0,0.0
2023-11-29,189.369995,180.252000725,181.54550059000002,0.0,0.0
2023-11-30,189.949997,180.65925055,181.56420053999997,0.0,0.0
2023-12-01,191.240005,181.067500575,181.57890055,0.0,0.0
2023-12-04,189.429993,181.366000275,181.56780055,0.0,0.0
2023-12-05,193.419998,181.72675009999998,181.59510050999998,1.0,1.0
2023-12-06,192.320007,182.0750003,181.57840053,1.0,0.0
2023-12-07,194.270004,182.436750325,181.58380061,1.0,0.0
2023-12-08,195.710007,182.811750325,181.58990062,1.0,0.0
2023-12-11,193.179993,183.17000000000002,181.5904005,1.0,0.0
2023-12-12,194.710007,183.56975015,181.61810054999998,1.0,0.0
2023-12-13,197.960007,184.09000047499998,181.67020062,1.0,0.0
2023-12-14,198.110001,184.6467506,181.71510068,1.0,0.0
2023-12-15,197.570007,185.1995006,181.74580075000003,1.0,0.0
2023-12-18,195.889999,185.77475045,181.77250073,1.0,0.0
2023-12-19,196.940002,186.37325049999998,181.78360073,1.0,0.0
2023-12-20,194.830002,186.9080005,181.76740078000003,1.0,0.0
2023-12-21,194.679993,187.497500175,181.7581007,1.0,0.0
2023-12-22,193.600006,188.16525035,181.76830074,1.0,0.0
2023-12-26,193.050003,188.7860004,181.78710079,1.0,0.0
2023-12-27,193.149994,189.35750042499998,181.89870068,1.0,0.0
2023-12-28,193.580002,189.92775037500002,182.04600064,1.0,0.0
2023-12-29,192.529999,190.391750325,182.1733006,1.0,0.0
2024-01-02,185.639999,190.593500125,182.24780057,1.0,0.0
2024-01-03,184.25,190.783500275,182.31060055999998,1.0,0.0
2024-01-04,181.910004,190.850500475,182.35180067000002,1.0,0.0
2024-01-05,181.179993,190.834500125,182.36900052999997,1.0,0.0
2024-01-08,185.559998,190.9012501,182.45010054,1.0,0.0
2024-01-09,185.139999,190.969499975,182.53580046,1.0,0.0
2024-01-10,186.190002,190.964250175,182.65770048000002,1.0,0.0
2024-01-11,185.589996,190.98399999999998,182.76870039000002,1.0,0.0
2024-01-12,185.919998,190.9459999,182.86950041,1.0,0.0
2024-01-16,183.630005,190.83650014999998,182.9335005,1.0,0.0
2024-01-17,182.679993,190.6607498,182.94910047999997,1.0,0.0
2024-01-18,188.630005,190.63424987499997,183.07160048000003,1.0,0.0
2024-01-19,191.559998,190.6369999,183.20110044999998,1.0,0.0
2024-01-22,193.889999,190.7182499,183.33810042000002,1.0,0.0
2024-01-23,195.179993,190.814999775,183.44870039999998,1.0,0.0
2024-01-24,194.5,190.92824975,183.51720046,1.0,0.0
2024-01-25,194.169998,191.037749875,183.58020048999998,1.0,0.0
2024-01-26,192.419998,191.088249975,183.6098004,1.0,0.0
2024-01-29,191.729996,191.14724999999999,183.63010039,1.0,0.0
2024-01-30,188.039993,191.0994999,183.68140028000002,1.0,0.0
2024-01-31,184.399994,190.92849962500003,183.74980024,1.0,0.0
2024-02-01,186.860001,190.864249825,183.83660032,1.0,0.0
2024-02-02,185.850006,190.675000025,183.90150037,1.0,0.0
2024-02-05,187.679993,190.558999675,184.01530027,1.0,0.0
2024-02-06,189.300003,190.43474965000001,184.16620023,1.0,0.0
